Timestamp,Best Bid,Best Ask
2025-04-29T16:23:04+03:00,94777.9000,94778.0000
2025-04-29T16:23:20+03:00,94787.9000,94788.0000
2025-04-29T16:23:30+03:00,94799.9000,94800.0000
